INFO 2024-09-28 15:15:32,850 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-28 15:15:32,851 autoreload Waiting for apps ready_event.
DEBUG 2024-09-28 15:15:32,950 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-28 15:15:32,972 autoreload Watching dir D:\Practice-2024\Django_assignment\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-09-28 15:15:32,973 autoreload Watching dir D:\Practice-2024\Django_assignment\inventory\locale with glob **/*.mo.
DEBUG 2024-09-28 15:15:32,973 autoreload Watching dir D:\Practice-2024\Django_assignment\inventory\authentication\locale with glob **/*.mo.
DEBUG 2024-09-28 15:15:32,973 autoreload Watching dir D:\Practice-2024\Django_assignment\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-09-28 15:15:32,973 autoreload Watching dir D:\Practice-2024\Django_assignment\venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-09-28 15:15:32,974 autoreload Watching dir D:\Practice-2024\Django_assignment\inventory\items\locale with glob **/*.mo.
DEBUG 2024-09-28 15:15:33,073 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-09-28 15:15:33,074 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-09-28 15:15:33,078 utils (0.000) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-09-28 15:15:33,085 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-09-28 15:15:33,246 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\DLLs\_zoneinfo.pyd first seen with mtime 1722958396.0
DEBUG 2024-09-28 15:15:33,247 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\hashlib.py first seen with mtime 1722958350.0
DEBUG 2024-09-28 15:15:33,247 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1727454510.4964585
DEBUG 2024-09-28 15:15:33,248 autoreload File D:\Practice-2024\Django_assignment\inventory\inventory\__init__.py first seen with mtime 1727462347.8779852
DEBUG 2024-09-28 15:15:33,248 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py first seen with mtime 1722958352.0
DEBUG 2024-09-28 15:15:33,248 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\reprlib.py first seen with mtime 1722958352.0
DEBUG 2024-09-28 15:15:33,248 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\random.py first seen with mtime 1722958352.0
DEBUG 2024-09-28 15:15:33,249 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1727454511.8957186
DEBUG 2024-09-28 15:15:33,249 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1727454510.4585593
DEBUG 2024-09-28 15:15:33,249 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1727454510.4086938
DEBUG 2024-09-28 15:15:33,249 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\base64.py first seen with mtime 1722958350.0
DEBUG 2024-09-28 15:15:33,250 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1727454529.5604897
DEBUG 2024-09-28 15:15:33,250 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1727454510.4874825
DEBUG 2024-09-28 15:15:33,250 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\bz2.py first seen with mtime 1722958350.0
DEBUG 2024-09-28 15:15:33,250 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1727454511.9156637
DEBUG 2024-09-28 15:15:33,251 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\email\_parseaddr.py first seen with mtime 1722958350.0
DEBUG 2024-09-28 15:15:33,251 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1727454509.3385582
DEBUG 2024-09-28 15:15:33,251 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1727454510.4994507
DEBUG 2024-09-28 15:15:33,251 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1727454527.98284
DEBUG 2024-09-28 15:15:33,251 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\dis.py first seen with mtime 1722958350.0
DEBUG 2024-09-28 15:15:33,252 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\DLLs\_overlapped.pyd first seen with mtime 1722958396.0
DEBUG 2024-09-28 15:15:33,252 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1727454508.9346354
DEBUG 2024-09-28 15:15:33,252 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1727454511.9176579
DEBUG 2024-09-28 15:15:33,252 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\email\mime\nonmultipart.py first seen with mtime 1722958350.0
DEBUG 2024-09-28 15:15:33,253 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\re\_casefix.py first seen with mtime 1722958352.0
DEBUG 2024-09-28 15:15:33,253 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_futures.py first seen with mtime 1722958350.0
DEBUG 2024-09-28 15:15:33,253 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1727454505.2425387
DEBUG 2024-09-28 15:15:33,253 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\unittest\result.py first seen with mtime 1722958352.0
DEBUG 2024-09-28 15:15:33,253 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1727454510.4615812
DEBUG 2024-09-28 15:15:33,254 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1727454511.9067068
DEBUG 2024-09-28 15:15:33,254 autoreload File C:\Users\Admin\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1722958350.0
DEBUG 2024-09-28 15:15:33,254 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1727454511.911674
DEBUG 2024-09-28 15:15:33,254 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1727454510.5034401
DEBUG 2024-09-28 15:15:33,255 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\rest_framework_simplejwt\token_blacklist\__init__.py first seen with mtime 1727454535.4348457
DEBUG 2024-09-28 15:15:33,255 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\redis\asyncio\client.py first seen with mtime 1727454545.6644876
DEBUG 2024-09-28 15:15:33,255 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1727454503.3655288
DEBUG 2024-09-28 15:15:33,255 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1727454510.4555678
DEBUG 2024-09-28 15:15:33,256 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1727454510.4246502
DEBUG 2024-09-28 15:15:33,256 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1727454510.5094244
DEBUG 2024-09-28 15:15:33,256 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1727454510.4226866
DEBUG 2024-09-28 15:15:33,256 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1727454510.4735222
DEBUG 2024-09-28 15:15:33,256 autoreload File D:\Practice-2024\Django_assignment\venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1727454511.9316204
